"STe-6NE","StateProvince"
"STe-7NE","StateProvince"
"STe-9ME","StateProvince"
"ST1-16P","StateProvince"
"ST1-11LW","StateProvince"
"ST1-6PW","StateProvince"
"ST1-10LW","StateProvince"
"ST1-4WS","StateProvince"
"ST1-5WT","StateProvince"
"ST1-14BE","StateProvince"
"ST1-8ES","StateProvince"
"ST1-7PW","StateProvince"
"SCLS-17LW","StateProvince"
"SCLS-24CW","StateProvince"
"SCLS-9WS","StateProvince"
"SCLS-19LW","StateProvince"
"SCLS-18LW","StateProvince"
"SCLS-8WS","StateProvince"
"SCLS-11PW","StateProvince"
"SC5-17CW","StateProvince"
"SC5-8WS","StateProvince"
"SC5-7WS","StateProvince"
"SC5-9WS","StateProvince"
"SC5-16CW","StateProvince"
"SC5-4WS","StateProvince"
"SCLS-14ES","StateProvince"
"ST1-9ES","StateProvince"
"ST1-15I","StateProvince"
"ST1-12MW","StateProvince"
"ST1-13MW","StateProvince"
"ST2-14BE","StateProvince"
"ST2-8ES","StateProvince"
"ST2-7PW","StateProvince"
"ST2-6PW","StateProvince"
"ST2-11LW","StateProvince"
"ST2-15I","StateProvince"
"ST2-13MW","StateProvince"
"ST2-16P","StateProvince"
"ST2-12MW","StateProvince"
"ST2-4WS","StateProvince"
"ST2-5WT","StateProvince"
"ST2-10LW","StateProvince"
"ST2-9ES","StateProvince"
"ST3-14BE","StateProvince"
"ST3-16P","StateProvince"
"ST3-13MW","StateProvince"
"ST3-9ES","StateProvince"
"ST3-6PW","StateProvince"
"ST3-7PW","StateProvince"
"ST3-11LW","StateProvince"
"ST3-15I","StateProvince"
"ST3-10LW","StateProvince"
"ST3-4WS","StateProvince"
"ST3-8ES","StateProvince"
"ST3-12MW","StateProvince"
"ST3-5WT","StateProvince"
"SCLS-13ES","StateProvince"
"SCLS-21LW","StateProvince"
"SC4-9WS","StateProvince"
"SC4-13ES","StateProvince"
"SC4-10PW","StateProvince"
"SC4-17CW","StateProvince"
"SC4-4WS","StateProvince"
"SC4-8WS","StateProvince"
"SC4-16CW","StateProvince"
"SC4-7WS","StateProvince"
"SC4-5WS","StateProvince"
"SCLS-15ES","StateProvince"
"SCLS-4WS","StateProvince"
"SCLS-10PW","StateProvince"
"SCLS-5WS","StateProvince"
"SCLS-6WS","StateProvince"
"SC4-14LW","StateProvince"
"SC4-12ES","StateProvince"
"SC4-11PW","StateProvince"
"SC4-6WS","StateProvince"
"SCLS-23CW","StateProvince"
"SCLS-22CW","StateProvince"
"SCLS-20LW","StateProvince"
"SCLS-12PW","StateProvince"
"SC5-6WS","StateProvince"
"SC5-13ES","StateProvince"
"SC5-14LW","StateProvince"
"SC5-11PW","StateProvince"
"SC5-10PW","StateProvince"
"SC5-5WS","StateProvince"
"SC5-12ES","StateProvince"
"SCLS-7WS","StateProvince"
"SCLS-16ES","StateProvince"
